station,latitude,longitude,elevation
CYGL,53.6253,-77.7042,195.0
PHKO,19.7388,-156.0456,13.0
PATC,65.564,-167.9225,83.0
NUC,33.0228,-118.5885,55.0
EYW,24.5561,-81.7596,1.0
CWEU,79.9833,-85.9333,10.0
CYXJ,56.2467,-120.7371,695.0
MHK,39.1353,-96.6778,322.0
CYYT,47.6222,-52.7428,140.0
ESN,38.8042,-76.069,21.9
CYBK,64.2989,-96.0778,18.0
CYUB,69.4333,-133.0264,5.0
CYVM,67.5458,-64.0314,6.0
BRO,25.9146,-97.4231,6.0
DLN,45.2554,-112.5525,1597.0
PADU,53.9001,-166.5435,4.0
CWCF,52.3597,-97.0219,222.0
PAMD,59.432,-146.338,14.0
LRU,32.2894,-106.922,1358.0
BHM,33.5655,-86.7449,192.0
CYCX,45.8377,-66.4367,51.0
CVX,45.3047,-85.2747,204.0
ACV,40.9781,-124.1086,66.0
CYWE,64.1908,-114.0768,415.0
CYYJ,48.6408,-123.4328,18.4
CXSE,73.7658,-105.2956,11.0
CWQS,53.3155,-132.7723,-17.7
CYYR,53.3192,-60.4258,49.0
CYLJ,54.1253,-108.5228,480.0
PABR,71.2826,-156.7922,4.0
EGE,39.6426,-106.9177,1993.0
HEI,46.0149,-102.656,828.0
CWZW,60.1667,-132.7333,705.0
GGG,32.384,-94.7115,124.0
CYVP,58.0961,-68.4269,60.0
CWMJ,46.2747,-75.9919,200.0
CYUX,68.7761,-81.2436,8.0
PATA,65.1744,-152.1069,67.0
ELY,39.295,-114.8453,1909.0
DEC,39.8346,-88.8657,207.0
CFE,45.159,-93.8433,295.0
CHS,32.8986,-80.0405,10.02
PABE,60.7858,-161.8264,46.0
DUX,35.858,-102.013,1129.0
CYSF,59.2503,-105.8414,250.0
ACK,41.2531,-70.0603,15.0
CWZG,51.1933,-115.5522,1397.0
PBX,37.5587,-82.5674,445.99
PRC,34.65,-112.42,1537.0
CYTE,64.23,-76.5267,47.0
CYPH,58.4719,-78.0769,3.0
CYVQ,65.2825,-126.8003,74.0
CYPO,54.9881,-85.4433,49.88
ECU,29.9469,-100.1739,723.0
NBG,29.8253,-90.035,-6.0
CYCB,69.1081,-105.1383,27.0
GCD,44.4042,-118.9625,1126.8
CYGQ,49.7828,-86.9306,351.0
CWEF,47.2328,-60.1444,26.0
CWEH,49.4378,-108.9886,1078.0
ERI,42.08,-80.18,225.0
SNS,36.6635,-121.6093,16.14
CXAT,72.9928,-85.0122,19.0
CYZV,50.2233,-66.2656,55.0
BPK,36.37,-92.47,283.0
CXYH,61.2419,-123.7417,204.0
LEE,28.82,-81.81,24.0
OGA,41.1195,-101.7697,992.28
PAPH,56.9591,-158.6334,29.0
CWIK,50.3681,-102.5708,602.0
CYBD,52.3875,-126.5958,35.0
CYTS,48.5697,-81.3767,295.0
CXTN,69.1989,-122.3592,552.0
TIK,35.4147,-97.3866,394.0
CYMA,63.6167,-135.8667,504.0
RDR,47.9611,-97.4012,278.0
CYMT,49.7719,-74.5281,387.0
RIW,43.0642,-108.4598,1688.0
CYFO,54.6781,-101.6817,304.0
ONP,44.5804,-124.0579,48.0
CYHD,49.8317,-92.7442,413.0
CYFB,63.7564,-68.5558,34.0
COE,47.7743,-116.8196,707.0
CYZH,55.2931,-114.7772,581.0
IKV,41.6878,-93.5695,270.7
LAM,35.8798,-106.2694,2179.0
PRS,29.6342,-104.3615,888.86
OLS,31.4208,-110.8458,1206.0
CZHY,60.8389,-115.7767,164.0
PASI,57.0471,-135.3616,20.0
PADQ,57.75,-152.4939,34.0
OEB,41.9333,-85.0525,292.0
ARM,29.2543,-96.1544,30.0
1V4,44.42,-72.02,217.0
CYEK,61.0942,-94.0708,10.0
MSN,43.1406,-89.3453,261.0
