station,latitude,longitude,elevation
04W,46.0229,-92.8952,311.0
06D,48.8844,-99.6208,555.0
0E0,34.9856,-106.0095,1889.0
0F2,33.6017,-97.7756,335.6
0S9,48.0538,-122.8106,34.02
11R,30.2189,-96.3742,94.0
1A5,35.22,-83.42,616.0
1S5,46.3271,-119.9704,229.91
20U,46.9252,-103.9821,840.0
2C8,48.7837,-97.632,272.0
2D5,46.1731,-98.0799,407.0
4O4,33.9094,-94.8594,144.0
4S2,45.6726,-121.5365,186.22
5C1,29.7239,-98.6946,422.1
5H4,47.7912,-99.9317,489.0
6S0,45.8063,-109.9736,1363.93
79J,31.3087,-86.3938,94.0
82V,41.1533,-104.1302,1563.21
96D,48.9406,-97.9028,287.0
9D7,48.48,-99.2364,451.0
9MN,44.0198,-92.4831,355.0
AAA,40.1587,-89.335,182.0
ABI,32.4106,-99.6821,545.0
ABQ,35.0419,-106.6155,1620.0
ABR,45.45,-98.42,395.0
ABY,31.5355,-84.1945,59.0
ACB,44.9886,-85.1984,190.0
ACJ,32.1108,-84.1889,143.0
ADC,46.4503,-95.2109,418.0
ADM,34.3032,-97.0195,232.0
ADW,38.8108,-76.867,86.0
AEJ,38.8142,-106.1207,2422.0
AEX,31.3347,-92.5586,27.0
AFF,38.9697,-104.8128,2003.0
AFN,42.8051,-72.003,317.0
AFO,42.7112,-110.9422,1882.1
AFW,32.9716,-97.3179,204.82
AGC,40.3547,-79.9217,382.0
AGS,33.3699,-81.9645,45.0
AHQ,41.2406,-96.5946,370.22
AIA,42.0572,-102.8,1195.58
AJG,38.6065,-87.7267,131.0
AKH,35.1967,-81.1558,244.0
ALB,42.7576,-73.8036,89.0
ALN,38.8899,-90.046,166.0
ALW,46.0948,-118.289,367.0
AMA,35.2194,-101.7059,1099.0
AMN,43.3221,-84.6879,229.8
AND,34.4946,-82.7094,238.0
ANW,42.5792,-99.993,787.11
AOO,40.2964,-78.32,458.0
APA,39.57,-104.85,1793.0
APN,45.0717,-83.5644,210.0
AQO,30.7836,-98.6619,336.0
ARA,30.0292,-91.8845,7.36
ART,43.9888,-76.0262,99.0
ASD,30.3433,-89.8222,8.0
ASH,42.7818,-71.5148,61.0
ASL,32.5205,-94.3078,108.8
ASX,46.5487,-90.9189,249.22
ATL,33.6301,-84.4418,315.0
ATY,44.914,-97.1547,525.88
AUG,44.32,-69.8,107.0
AUH,40.8941,-97.9946,546.41
AUM,43.6647,-92.9333,375.0
AUS,30.1945,-97.6699,189.0
AVL,35.4319,-82.5375,661.0
AWO,48.1608,-122.159,42.0
AXH,29.5061,-95.4769,20.7
AXS,34.6988,-99.3385,436.8
AZC,36.9599,-113.0139,1480.56
AZO,42.2347,-85.5519,272.0
BAB,39.1361,-121.4366,34.0
BAF,42.1578,-72.7161,83.0
BAZ,29.709,-98.045,195.0
BBD,31.1793,-99.3239,557.0
BBW,41.4365,-99.6385,769.27
BCB,37.2076,-80.4078,650.0
BDE,48.7284,-94.6122,329.0
BDG,37.5828,-109.4831,1774.18
BDL,41.9381,-72.6825,55.0
BDR,41.1583,-73.1289,5.0
BED,42.4699,-71.289,41.0
BEH,42.1286,-86.4285,191.0
BFD,41.8031,-78.6401,653.0
BFF,41.874,-103.5956,1203.49
BFI,47.53,-122.3,5.0
BFM,30.6268,-88.0681,8.0
BGM,42.2086,-75.9797,497.0
BGR,44.8074,-68.8281,59.0
BIE,40.3013,-96.7541,398.87
BIJ,31.3975,-84.8948,65.0
BIS,46.7727,-100.7458,506.0
BJI,47.5094,-94.9337,420.0
BKF,39.7017,-104.7517,1726.0
BKL,41.5175,-81.6833,178.0
BKV,28.4736,-82.4554,20.0
BKW,37.7873,-81.1242,766.0
BKX,44.3048,-96.8169,490.28
BLI,48.7927,-122.5375,48.0
BLV,38.5452,-89.8352,138.0
BMG,39.146,-86.6167,257.0
BMI,40.4771,-88.9159,267.0
BNA,36.1189,-86.6892,180.0
BNO,43.595,-118.9564,1271.0
BOI,43.5667,-116.2406,874.0
BOK,42.0746,-124.2901,139.9
BOS,42.3606,-71.0097,9.0
BPT,29.9521,-94.0261,4.58
BQK,31.2588,-81.4665,8.0
